sents,docs,y
"The growth in broadband has made it quicker for people to download movies and the industry fears that if it does not take action now, it could suffer the same downturn as the music industry.
","Hollywood to sue net film pirates

The US movie industry has launched legal action to sue people who facilitate illegal film downloading.

The Motion Picture Association of America wants to stop people using the program BitTorrent to swap movies. The industry is targeting people who run websites which provide information and internet links to movies which have been copied or filmed in cinemas. More than 100 server operators have been targeted in the actions launched in the US and UK, the MPAA added. The suits were filed against users of the file-sharing programs BitTorrent, eDonkey and DirectConnect in the United States, United Kingdom, France, Finland and the Netherlands, the MPAA said.

BitTorrent users can download movies by following a link to files which are found on websites called trackers. Unlike most peer-to-peer programs BitTorrent works by sharing a file, which could be anything from a legitimate digital photo to a copied movie, among multiple users at the same time. The movie industry hopes that suing the people who run the trackers will cut BitTorrent users off from illegal movies at source. Last month major film studios started legal action against 200 individuals who were swapping films online. The growth in broadband has made it quicker for people to download movies and the industry fears that if it does not take action now, it could suffer the same downturn as the music industry.
",1
"Benitez admitted it was a costly loss of two points by Liverpool, who followed up their derby defeat against Everton with a disappointing draw.","Benitez deflects blame from Dudek

Liverpool manager Rafael Benitez has refused to point the finger of blame at goalkeeper Jerzy Dudek after Portsmouth claimed a draw at Anfield.

Dudek fumbled a cross before Lomana LuaLua headed home an injury-time equaliser, levelling after Steven Gerrard put Liverpool ahead. Benitez said: ""It was difficult for Jerzy. It was an unlucky moment. ""He was expecting a cross from Matthew Taylor and it ended up like a shot, so I don't blame him for what happened."" Benitez admitted it was a costly loss of two points by Liverpool, who followed up their derby defeat against Everton with a disappointing draw. He said: ""We had many opportunities but didn't score and, in the end, a 1-0 lead was not enough. ""If you don't have any chances you have to think of other things, but when you are creating so many chances as we are there is nothing you can say to the players. It was a pity. ""We lost two points, but we have one more point in the table. Now we have another difficult game against Newcastle and we have to recover quickly from that.""
",1
"- Upgrading security at nuclear arms stores as a temporary measure 
 - Creating a new Global Safety Authority to tackle nuclear terrorism, using the intelligence links established in the wake of 11 September - backed by the United Nations' authority 
 - Encouraging, pressuring and using ""all available means"" to persuade countries to switch their highly-enriched uranium for less dangerous less-enriched uranium 
 - When possible, taking fissile material away from failing states to safe havens where it can be blended down or converted 
 - Compelling ""failing and rogue states"", and eventually all states, to destroy their nuclear bombs.
","Nuclear strike 'key terror risk'

The UK and US must realise they cannot prevent all terror attacks and should focus on making sure they are not nuclear strikes, says a top academic.

Amitai Etzioni, a key influence on New Labour thinking, says the US emphasis on an ""Axis of Evil"" is misplaced. The priority should instead be on ""failing states"", including Russia and Pakistan, who cannot properly control their nuclear material, he argues. His report demands a major overhaul of world rules on nuclear technology.

Professor Etzioni was a senior adviser to President Carter's White House and is the guru behind communitarian ideas which influenced the development of Blairite Third Way politics. In a report for the Foreign Policy Centre think tank, he says a nuclear terrorist attack is the main danger faced by many nations.

""Attempts to defend against it by hardening domestic targets cannot work, nor can one rely on pre-emption by taking the war to the terrorists before they attack,"" he says. That means there is an urgent need to curb terrorists' access to nuclear arms and the materials used to make them. ""We must recognise that we will be unable to stop all attacks and thus ensure terrorists will not be able to strike with weapons of mass destruction,"" Prof Etzioni continues.

He suggests so-called rogue states such as Iran and North Korea are less of a problem than ""failed and failing states"", which are more likely to be a source of nuclear materials. He names Russia as the ""failing state"" of gravest concern as it has an estimated 90% of all fissile material outside America. And he is also worried about Pakistan after one of its top nuclear scientists, Abdul Qadeer Khan, admitted leaking nuclear secrets. Prof Etzioni criticises the US for overlooking those reports, suggesting it was done in return for Pakistani help in hunting Osama Bin Laden. ""This is like letting a serial killer go because he promised to catch some jay-walkers,"" he says.


 - Upgrading security at nuclear arms stores as a temporary measure 
 - Creating a new Global Safety Authority to tackle nuclear terrorism, using the intelligence links established in the wake of 11 September - backed by the United Nations' authority 
 - Encouraging, pressuring and using ""all available means"" to persuade countries to switch their highly-enriched uranium for less dangerous less-enriched uranium 
 - When possible, taking fissile material away from failing states to safe havens where it can be blended down or converted 
 - Compelling ""failing and rogue states"", and eventually all states, to destroy their nuclear bombs.
",1
"The 34-year-old Dutch midfielder is out of contract in the summer and, although his age may count against him, he feels he can play on for another season.","Bosvelt optimistic over new deal

Manchester City's Paul Bosvelt will find out ""within a month"" whether he is to be offered a new one-year deal.

The 34-year-old Dutch midfielder is out of contract in the summer and, although his age may count against him, he feels he can play on for another season. ""I told the club I would like to stay for one more year. They promised me an answer within the next month so I am waiting to see,"" he said. ""The main concern is my age but I think I have proved I am fit enough. Bosvelt joined City from Feyenoord in 2003 and at first he struggled to adapt to life in England. But his professionalism and dedication impressed manager Kevin Keegan. ""He realised the pace of the game was faster than anything he was used to but he drove himself back into the team. He is an unsung hero,"" said Keegan.
",1
"""February was another good month in the manufacturing sector,"" said ISM survey chairman Norbert Ore.

""While the overall rate of growth is slowing, the overall picture is improving as price increases and shortages are becoming less of a problem.","Slowdown hits US factory growth

US industrial production increased for the 21st month in a row in February, but at a slower pace than in January, official figures show.

The Institute for Supply Management (ISM) index fell to 55.3 in February, from an adjusted 56.4 in January. Although the index was lower than in January, the fact that it held above 50 shows continued growth in the sector. ""February was another good month in the manufacturing sector,"" said ISM survey chairman Norbert Ore.

""While the overall rate of growth is slowing, the overall picture is improving as price increases and shortages are becoming less of a problem. Exports and imports remain strong,"" he said. Analysts had expected February's figure to be stronger than January's and come in at 57. Of the 20 manufacturing sectors surveyed by ISM, 13 reported growth. They included the textiles, apparel, tobacco, chemicals and transportation sectors. The ISM's index of national manufacturing activity is compiled from the responses of purchasing executives at more than 400 industrial companies.
",1
"The 29-year-old has finished second to Paula Radcliffe in the 2002 and 2003 London races as well as in November's New York City marathon.
","London hope over Chepkemei

London Marathon organisers are hoping that banned athlete Susan Chepkemei will still take part in this year's race on 17 April.

Chepkemei was suspended from all competition until the end of the year by Athletics Kenya after failing to report to a national training camp. ""We are watching it closely,"" said London race director David Bedford. ""There is a long way to go before the race and we are hoping the situation will be satisfactorily resolved."" The camp in Embu was to prepare for the IAAF World Cross Country Championships later this month. Chepkemei however took part and finished third in last Sunday's world best 10K race in Puerto Rico. The 29-year-old has finished second to Paula Radcliffe in the 2002 and 2003 London races as well as in November's New York City marathon.
",1
"""Mutu will be in our club's main stand to watch the match between Juventus and Fiorentina,"" said a Juventus official, who declined to be named.","Mutu to hold talks with Juventus

Disgraced former Chelsea striker Adrian Mutu is to begin talks with Juventus as he looks for a new club.

""Mutu will be in our club's main stand to watch the match between Juventus and Fiorentina,"" said a Juventus official, who declined to be named. ""Then he will meet some important people of the club,"" he added. Mutu, 25, sacked by Chelsea and banned for seven months for taking cocaine, is now represented by Alessandro Moggi, son of Juve manager Luciano Moggi. Mutu, banned by the English FA, can resume playing next May. He is to undergo a drug education and rehabilitation programme. Mutu wants to train with Romanian side Dinamo Bucharest whilst serving his ban, say the Bucharest side.
",1
"This week, UK Athletics also agreed a four-year deal with energy drink company, Red Bull, who will be supplying the product to athletics at major domestic meetings and in high performance centres.
","UK Athletics agrees new kit deal

UK Athletics has agreed a new deal with adidas to supply Great Britain squads of all ages with their kit for the next four years.

The German-based firm kitted out Team GB at the 2004 Olympics and has deals with 20 other national Olympic bodies. UK Athletics chief David Moorcroft said: ""The Athens experience can now be extended to more major championships. ""In the year ahead these include the European indoor and World outdoor championships. We are delighted."" Moorcroft added: ""It is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world-class series of live televised events."" This week, UK Athletics also agreed a four-year deal with energy drink company, Red Bull, who will be supplying the product to athletics at major domestic meetings and in high performance centres.
",1
"Speaking to the Greek Parliament on Tuesday, Sevastis said that the evidence sent by the International Olympic Committee and athletics governing body the IAAF was not strong enough for the Greek Association to find the sprinters guilty.

","Greek sprinters 'won't run again'

The careers of sprinters Kostas Kenteris and Katerina Thanou are over, says the boss of the organisation that cleared them of missing a drugs test.

Greek Athletics Federation boss Vassilli Sevastis told the country's parliament: ""I believe Kenteris and Thanou won't race again. ""The damage to their commercial interests has been done,"" he added. Athletics bosses are considering its reponse to the ruling, while the athletes face a trial in a Greek court. Greek prosecutors have brought spearate charges of missing the drugs test and faking a motorcycle accident. Speaking to the Greek Parliament on Tuesday, Sevastis said that the evidence sent by the International Olympic Committee and athletics governing body the IAAF was not strong enough for the Greek Association to find the sprinters guilty.

""We were given the task of getting the snake out if its hole but we were not given any evidence to do it with,"" he said. ""So how can you as a Greek with your hand on your heart try the athletes?"" he added. The athletes are technically free to compete while the IAAF reviews its response to the decision to clear Kenteris and Thanou. But Sevastis said: ""It does not matter if they are found guilty at the Court of Arbitration for Sport and the current decision is reversed.""
",1
"Shark Tale DVD is US best-seller

Oscar-nominated animation Shark Tale has raked in $80m (Â£42.4m) in the first week of its US DVD release becoming the year's best-selling home video so far.","Shark Tale DVD is US best-seller

Oscar-nominated animation Shark Tale has raked in $80m (Â£42.4m) in the first week of its US DVD release becoming the year's best-selling home video so far.

The tally for its DVD and video sales soared past the film's opening week US box office takings of $56m (Â£29.7m). Shark Tale is now the sixth-highest earning DVD for first week sales. The all-time first-week record is held by 1995's Lion King followed by Shrek 2, Finding Nemo, the original Shrek, and Monster's Inc.

Shark Tale, whose voice cast includes Will Smith, Robert De Niro, Renee Zellweger and Martin Scorsese, sold more than 6 million DVDs and videos across the United States and Canada. It becomes the highest first-week earner for February, outshining My Big Fat Greek Wedding which sold four million units in 2003. Films which are expected to earn strong home video returns are usually timed for release in the busiest retail season which falls before Christmas. The best-selling home video of last year was the Dreamworks hit Shrek 2, which took an estimated $458 m (Â£242.7m) in North America alone.
",1
"John Payne and Chris Rhys Jones come into the centres while scrum-half Richard Wigglesworth looks set to play on the wing.

","Worcester v Sale (Fri)

Sixways

Friday, 25 February

2000 GMT

They make just one change, with Tim Collier replacing Phil Murphy in the second row. In contrast, Sale are missing 14 players due to a combination of international call-ups and injuries. John Payne and Chris Rhys Jones come into the centres while scrum-half Richard Wigglesworth looks set to play on the wing.

Delport; Pieters, Rasmussen, Lombard, O'Leary; Brown, Powell; Windo, Van Niekerk, Horsman; Collier, Gillies; Hickey, Sanderson, MacLeod- Henderson.

Replacements: Fortey, Murphy, Daly, Vaili, Cole, Hayes, Trueman.

Hanley; Mayor, Payne, Rhys Jones, Wigglesworth; Hercus, Redpath (capt); Turner, Roddam, Stewart; Day, Schofield; Caillet, Carter, Chabal.

Replacements (from): Bozzi, Coutts, Anglesea, Lund, Martens, Riley, Duffy, C Jones.
",1
The 20-year-old Swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in Lyon last year.,"Soderling wins tense Milan final

Fifth seed Robin Soderling took the Milan Indoors title with a dramatic win over Radek Stepanek in Sunday's final.

The 20-year-old Swede edged the final set tie-break for a 6-3 6-7 (2-7) 7-6 (7-5) victory and his second tour title after winning in Lyon last year. ""I'm delighted to have won against such a good opponent in a tournament of this importance,"" said Soderling. ""I was really on form, my service was good and I really liked playing on the synthetic surface."" Soderling, the world number 37, shrugged off a nervous start to take the opening set on his first set point. A change in approach from fourth seed Stepanek in the second set paid dividends as he took it on a tie-break, but Soderling's superior power proved too much in the third.
",1
"Day-Lewis has competed four times at the Berlin Film Festival, with films In The Name Of The Father (1994), The Crucible (1997), The Boxer (1998) and Martin Scorsese's Gangs Of New York (2003).","Day-Lewis set for Berlin honour

Actor Daniel Day-Lewis is to be presented with an award for his career in film at the Berlin Film Festival.

The 47-year-old, whose credits include his Oscar-winning performance in My Left Foot, will be presented with the Berlinale Camera award on 15 February. The honour, awarded since 1986, honours figures in cinema that the festival feels ""particularly indebted to"". Man to Man, a historical epic starring Kristin Scott Thomas, opens the German festival on 10 February. A candid documentary about the life and career of singer George Michael, A Different Story will also be screened at the 10-day event. '

Day-Lewis has competed four times at the Berlin Film Festival, with films In The Name Of The Father (1994), The Crucible (1997), The Boxer (1998) and Martin Scorsese's Gangs Of New York (2003). The festival praises him for his ""sensational start"" with roles in My Beautiful Launderette and costume classic A Room With A View, and a ""great number of celebrated roles"" in subsequent productions. Japan's oldest film studio will also be honoured along with Day-Lewis. Shochiku film studios, which was founded 110 years ago, will become the first cinematic institution to receive the Berlinale Camera award. Famous Japanese directors including Akira Kurosawa have had films produced at the studio.
",1
"As Orient chased a second, Mansfield had to clear Alan White's header off the line and Kevin Pilkington saved well from Michael Simpson.","Mansfield 0-1 Leyton Orient

An second-half goal from Andy Scott condemned Mansfield to a ninth successive game without a win.

Early in the second half Wayne Carlisle's cross was met by Scott and he blasted the ball home from just outside the penalty area. As Orient chased a second, Mansfield had to clear Alan White's header off the line and Kevin Pilkington saved well from Michael Simpson. By the end Mansfield fans were chanting for the head of chairman Keith Haslam.

Pilkington, Talbot, Buxton, Dimech, Artell, Corden, Murray, Curtis, Neil, Warne, Barker. Subs Not Used: White, McIntosh, Wood, Lloyd, Herron.

Harrison, Lockwood, Donny Barnard, White,Mackie, Scott, Saah, Simpson, Carlisle, Lee Barnard, Ibehre. Subs Not Used: Morris, Wardley, Newey, Zakuani, McMahon.

Scott 51.

3,803

S Mathieson (Cheshire).
",1
"R de Marigny (Parma); Mirco Bergamasco (Stade Francais), C Stoica (Montpellier), A Masi (Viadana), L Nitoglia (Calvisano); L Orquera (Padova), A Troncon (Treviso); A Lo Cicero (L'Aquilla), F Ongaro (Treviso), M Castrogiovanni (Calvisano), S Dellape (Agen), M Bortolami (Narbonne, capt), A Persico (Agen), D dal Maso (Treviso), S Parisse (Treviso).","Dal Maso in to replace Bergamasco

David dal Maso has been handed the task of replacing the injured Mauro Bergamasco at flanker in Italy's team to face Scotland on Saturday.

Alessandro Troncon continues at scrum-half despite the return to fitness of Paul Griffen. The experienced Cristian Stoica is recalled at centre at the expense of Walter Pozzebon. ""We are going to Scotland for the first away win and nothing else,"" said manager Marco Bollesan. ""I really believe this is the team who will have all our faith for Saturday's game. ""We lost a player like Mauro Bergamasco who has been important for us, but (coach) John (Kirwan) has put together the best team at present, if not ever.

R de Marigny (Parma); Mirco Bergamasco (Stade Francais), C Stoica (Montpellier), A Masi (Viadana), L Nitoglia (Calvisano); L Orquera (Padova), A Troncon (Treviso); A Lo Cicero (L'Aquilla), F Ongaro (Treviso), M Castrogiovanni (Calvisano), S Dellape (Agen), M Bortolami (Narbonne, capt), A Persico (Agen), D dal Maso (Treviso), S Parisse (Treviso).

G Intoppa (Calvisano), S Perugini (Calvisano), CA Del Fava (Parma), S Orlando (Treviso), P Griffen (Calvisano), R Pedrazzi (Viadana), K Robertson (Viadana).
",1
"Deeley formerly co-hosted SM:tv, the children's show which airs before CD:UK on a Saturday morning, alongside hit presenters Ant and Dec. She won a Children's Bafta award for best presenter in December 2001 and also fronted BBC One's Fame Academy series.
","TV presenter Deeley drops CD:UK

Cat Deeley has resigned as host of ITV1's Saturday morning children's music show CD:UK after six years.

The 28-year-old host who also presents Stars In Their Eyes said she wanted to concentrate on new television projects. ""I've had a great few years, met some really incredible people and been given some wonderful opportunities,"" the presenter said. Deeley will host her last show on 5 March and guest presenters will stand in until a replacement is found.

The long-running presenter said: ""I would like to take this opportunity to thank the CD:UK team and all the viewers that have watched, supported the show and let me gate crash their Saturday morning. ""Whilst obviously I am really sad to say goodbye, I'm immensely excited about the future."" Deeley formerly co-hosted SM:tv, the children's show which airs before CD:UK on a Saturday morning, alongside hit presenters Ant and Dec. She won a Children's Bafta award for best presenter in December 2001 and also fronted BBC One's Fame Academy series.
",1
Rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away.,"Dent continues Adelaide progress

American Taylor Dent reached the final of the Australian hardcourt event in Adelaide with a crushing 6-1 6-1 win over Argentine Juan Ignacio Chela.

Dent will meet Swede Joachim Johansson on Sunday after the second seed survived a tense tie-break to defeat Belgium's Olivier Rochus 6-1 7-6 (7/5). Johansson, the boyfriend of Lleyton Hewitt's sister Jaslyn, received strong crowd support on Saturday. ""It feels like home for me, because Jaslyn lives here,"" said Johansson. Rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away. ""It was so close - one mistake like this and the match is over, it's tough. For me, it was clearly out,"" Rochus said.
",1
"Only a quarter of 14-16 year olds knew that Labour was the government, the Tories were the official Opposition and the Lib Dems were the third party.","Teens 'know little' of politics

Teenagers questioned for a survey have shown little interest in politics - and have little knowledge.

Only a quarter of 14-16 year olds knew that Labour was the government, the Tories were the official Opposition and the Lib Dems were the third party. Almost all could identify Tony Blair, but only one in six knew who Michael Howard was, and just one in 10 recognised Charles Kennedy. The ICM survey interviewed 110 pupils for education watchdog Ofsted. Nearly half those pupils polled said it was not important for them to know more about what the political parties stand for. And 4% of those questioned thought the Conservatives were in power - while 2% of them believed the Lib Dems were. The survey also looked at issues of nationality. It found the Union flag and fish and chips topped the list of symbols and foods associated with being British. Many of the pupils also looked on themselves as English, Scottish or Welsh, rather than British; while the notion of being European hardly occurred to anyone.
",1
"Other big risers over the past year included presenting duo Ant and Dec at five, up from 13 in 2004, Stephen Fry rising nine places to 15 and BBC Three controller Stuart Murphy, who moves to number 18 from 32 last year.","Little Britain two top comic list

Little Britain stars Matt Lucas and David Walliams have been named the most powerful people in TV comedy, in a poll by listings magazine Radio Times.

The duo kept Phoenix Nights creator Peter Kay at number two and The Office star Ricky Gervais in third place. A Radio Times panel compiled the list, taking the comedians' critical acclaim and financial success into account. Newcomers to the annual list included Nighty Night star Julia Davis at seven and Black Books' Tamsin Greig at 19.

Lucas and Walliams won numerous awards for Little Britain in 2004, including National Television, Royal Television Society and British Comedy awards. More than 1.8 million people watched the first episode of the latest series of Little Britain on BBC Three in October, giving the digital channel its highest rating ever.

They topped the Radio Times list after rising from 10th position last year. Other big risers over the past year included presenting duo Ant and Dec at five, up from 13 in 2004, Stephen Fry rising nine places to 15 and BBC Three controller Stuart Murphy, who moves to number 18 from 32 last year. Last year's winner, chat show host Graham Norton, fell to number 16 following relatively few television appearances in 2004. Production companies also featured in the top 50, including Steve Coogan's Baby Cow, which created Nighty Night among others, Hat Trick - behind The Kumars at Number 42 - and The Vicar of Dibley production company Tiger Aspect.
",1
"""In light of what has happened to Nicky Hunt, with his injury, it might be a blessing in disguise that we can bring in a highly-experienced full-back to help with our injuries at the back,"" Allardyce said.","Candela completes Bolton switch

Bolton boss Sam Allardyce has signed Roma defender Vincent Candela on a five-month deal.

The 31-year-old former France international gave his last press conference as a Roma player on Monday, anouncing his move to Bolton. ""I have signed a five-month contract with Bolton,"" said Candela, who will travel to England on Tuesday. ""In June I will decide whether to continue to play for Bolton or retire from professional football."" Allardyce hopes Candela's arrival will relieve Bolton's injury crisis after defender Nicky Hunt limped out injured during Oldham's 1-0 win against Oldham in the FA Cup on Sunday. ""In light of what has happened to Nicky Hunt, with his injury, it might be a blessing in disguise that we can bring in a highly-experienced full-back to help with our injuries at the back,"" Allardyce said. ""He has an outstanding pedigree in the game and has won honours at the highest level including the World Cup in 1998. ""He has not played regular football this year but is eager to impress in the Premiership. ""He can play in any position at the back and despite him being predominately right-footed he has played the majority of his career at left-back."" Candela, who was a member of the Roma side that won the title in 2001, has made only seven league appearances this season for Luigi del Neri's side.
",1
"""He is a left-sided player, a position we have been looking at and he showed so much talent in his time here that we decided to take him.","Spurs to sign Iceland U21 star

Tottenham are primed to snap up Iceland Under-21 international Emil Hallfredsson after he impressed on trial at White Hart Lane.

The 20-year-old midfielder, who plays for FH Hafnarfjordur, also starred in the Uefa Cup match against Scottish side Dunfermline earlier this season. Spurs have agreed a fee for the player, who has yet to agree personal terms. ""He had offers from two other clubs but he decided to come to Tottenham,"" said Spurs sporting director Frank Arnesen. ""He is a left-sided player, a position we have been looking at and he showed so much talent in his time here that we decided to take him. ""It's down the road of bringing in talent, good prospects and giving them a place at Tottenham where they can improve.""
",1
"""I also know the party will be put under scrutiny in the media and from the other parties as never before - and we will need to show ourselves ready and prepared to counter the mischief and misrepresentation that all too often comes from the party's opponents.","Lib Dems' new election PR chief

The Lib Dems have appointed a senior figure from BT to be the party's new communications chief for their next general election effort.

Sandy Walkington will now work with senior figures such as Matthew Taylor on completing the party manifesto. Party chief executive Lord Rennard said the appointment was a ""significant strengthening of the Lib Dem team"". Mr Walkington said he wanted the party to be ready for any ""mischief"" rivals or the media tried to throw at it.

""My role will be to ensure this new public profile is effectively communicated at all levels,"" he said. ""I also know the party will be put under scrutiny in the media and from the other parties as never before - and we will need to show ourselves ready and prepared to counter the mischief and misrepresentation that all too often comes from the party's opponents. ""The party is already demonstrating on every issue that it is the effective opposition."" Mr Walkington's new job title is director of general election communications.
",1
"The bank, and Italaudit - formerly the Italian arm of auditor Grant Thornton - face lawsuits and possible prosecution.","Parmalat bank barred from suing

Bank of America has been banned from suing Parmalat, the food group which went bust in 2003 after an accounting scandal.

The bank - along with investors, auditors and the group's managers - wants damages for being a victim of fraud at the hands of the Italian firm. But a judge has barred Bank of America and two auditors from the case. The bank, and Italaudit - formerly the Italian arm of auditor Grant Thornton - face lawsuits and possible prosecution. A second auditor, Deloitte & Touche, has also been banned from the case. Grant Thornton - now rid of the Italian unit at the centre of the case - is still being permitted to sue, as are Consob, Italy's stock market regulator, hundreds of small investors and Parmalat's new managers. Parmalat collapsed in December 2003 after it emerged that the 4bn euros ($5.2bn; Â£2.8bn) it supposedly held in a Bank of American offshore account did not in fact exist.
",1
"Two Nigerian banks set to merge

Nigerian banks United Bank of Africa and Standard Trust Bank have agreed plans to merge and create the biggest bank in West Africa.","Two Nigerian banks set to merge

Nigerian banks United Bank of Africa and Standard Trust Bank have agreed plans to merge and create the biggest bank in West Africa.

The deal is also in line with a 2004 directive from the Nigerian central bank that called for more consolidation in the nation's crowded banking sector. The merger was announced in a statement on Standard Trust's website on Tuesday, but no financial details were revealed. United Bank is the third biggest in Nigeria in terms of number of branches. Standard Trust is smaller but more profitable. ""The boards of United Bank and Standard Trust, at separate meetings yesterday, approved arrangements to merge both institutions,"" Standard Trust said. Standard Trust is 100% Nigerian-owned, but United Bank has some foreign investors, including New York-based Global Depository Receipts (32.8%), and Banca Nazionale del Lavoro and Monte del Paschi di Siena, both from Italy, who each have a 2.4% stake.
",1
"""The boards of United Bank and Standard Trust, at separate meetings yesterday, approved arrangements to merge both institutions,"" Standard Trust said.","Two Nigerian banks set to merge

Nigerian banks United Bank of Africa and Standard Trust Bank have agreed plans to merge and create the biggest bank in West Africa.

The deal is also in line with a 2004 directive from the Nigerian central bank that called for more consolidation in the nation's crowded banking sector. The merger was announced in a statement on Standard Trust's website on Tuesday, but no financial details were revealed. United Bank is the third biggest in Nigeria in terms of number of branches. Standard Trust is smaller but more profitable. ""The boards of United Bank and Standard Trust, at separate meetings yesterday, approved arrangements to merge both institutions,"" Standard Trust said. Standard Trust is 100% Nigerian-owned, but United Bank has some foreign investors, including New York-based Global Depository Receipts (32.8%), and Banca Nazionale del Lavoro and Monte del Paschi di Siena, both from Italy, who each have a 2.4% stake.
",1
"""I play my best tennis when I am fired up on the court and the reason I won today was because I was able to play my natural, attacking game,"" he said.","Prodigy Monfils blows away Gaudio

French prodigy Gael Monfils underlined his huge promise by beating French Open champion Gaston Gaudio 6-4 7-6 (7-4) in the first round of the Qatar Open.

The 18-year-old wild card won three of the four junior Grand Slam events last year, including Wimbledon. Fabrice Santoro, the 2000 champion, beat Sweden's Thomas Johansson 6-4 6-2 but fourth seed Mikhail Youzhny lost 6-3 7-6 (7-3) to Rafael Nadal. Roger Federer plays Greg Rusedski in the second round on Wednesday. Monfils, who was given a wildcard into the tournament, said: ""This is my first win over a top 10 player and I am delighted. ""I play my best tennis when I am fired up on the court and the reason I won today was because I was able to play my natural, attacking game,"" he said. ""Of course I was a bit tired in the second set. But I was confident I could survive had there been a third set.""
",1
"J Robinson (Sale Sharks, capt); M Cueto (Sale Sharks), M Tait (Newcastle), J Noon (Newcastle), J Lewsey (Wasps); C Hodgson (Sale Sharks), M Dawson (Wasps); G Rowntree (Leicester), S Thompson (Northampton), J White (Leicester), D Grewcock (Bath), B Kay (Leicester), L Moody (Leicester),","Teenager Tait picked for England

Newcastle's teenage centre Mathew Tait has been named as a centre in England's team to face Wales in the Six Nations opener in Cardiff on Saturday.

The 18-year-old will play alongside Falcons' team-mate Jamie Noon in England's midfield. Scrum-half Matt Dawson is also recalled, despite been left out of the initial squad after a row over clashing TV and training commitments. Bath lock Danny Grewcock will also start, pending a possible citing. England coach Andy Robinson has also awarded Gloucester flanker Andy Hazell his first Six Nations start. In another change to the side that lost to Australia in November, Leicester lock Ben Kay replaces Bath second row Steve Borthwick. Robinson was already without Jonny Wilkinson, Mike Tindall, Stuart Abbott, Richard Hill and Will Greenwood, while Mike Catt had been left out of England's squad.

J Robinson (Sale Sharks, capt); M Cueto (Sale Sharks), M Tait (Newcastle), J Noon (Newcastle), J Lewsey (Wasps); C Hodgson (Sale Sharks), M Dawson (Wasps); G Rowntree (Leicester), S Thompson (Northampton), J White (Leicester), D Grewcock (Bath), B Kay (Leicester), L Moody (Leicester), A Hazell (Gloucester), J Worsley (Wasps). Replacements: A Titterrell (Sale Sharks), P Vickery (Gloucester), S Borthwick (Bath), J Forrester (Gloucester), H Ellis (Leicester), O Barkley (Bath), B Cohen (Northampton).
",1
"The return to fitness of Darius Vassell after four months out with a broken ankle and the emergence of Luke Moore has alleviated some of the Villa's manager's problems in that department.
","Cole faces lengthy injury lay-off

Aston Villa's Carlton Cole could be out for six weeks with a knee injury.

The striker, who is on a season-long loan from Chelsea, picked up the knock in an England Under-21 match against Holland earlier this month. ""Carlton will be out of action for four to six weeks after a bad challenge,"" said Villa boss David O'Leary. ""I won't be able to tell you whether he will need an operation until maybe next week. Whether he has an operation has got to be left to Chelsea."" Cole, who also struggled with an ankle problem earlier in the season, was unable to rest because O'Leary had a shortage of strikers. The return to fitness of Darius Vassell after four months out with a broken ankle and the emergence of Luke Moore has alleviated some of the Villa's manager's problems in that department.
",1
Its comments came after the industry minister of India's Andhra Pradesh state said a team of VW officials were due to visit to discuss the plans.,"VW considers opening Indian plant

Volkswagen is considering building a car factory in India, but said it had yet to make a final decision.

The German giant said it was studying the possibility of opening an assembly plant in the country, but that it remained only a ""potential"" idea. Its comments came after the industry minister of India's Andhra Pradesh state said a team of VW officials were due to visit to discuss the plans. B. Satyanarayana said he expected VW to co-sign a memorandum of agreement. Several foreign carmakers, including Hyundai, Toyota, Suzuki and Ford, already have Indian production facilities to meet demand for automobiles in Asia's fourth-largest economy. VW's proposed plant would be set up in the port city of Visakhapatnam on India's eastern coast. An Andhra Pradesh official added that VW had already approved a factory site measuring 250 acres.
",1
"Usher and Keys will be battling it out for prizes including artist of the year, Hot 100 songwriter of the year and Billboard 200 album of the year for their respective albums Confessions and The Diary of Alicia Keys. Maroon5 and OutKast are also up for artist of the year, while OutKast's Speakerboxxx/The Love Below is a finalist for Billboard 200 album of the year, alongside Josh Groban's Closer.","Usher leads Billboard nominations

R&B singer Usher is leading the race for the Billboard awards with nominations in 13 categories, including best male.

Alicia Keys has 12 nominations for the awards, which will be held on 8 December at the MGM Grand in Las Vegas. Other multiple nominees include Maroon5, OutKast, Kanye West, R Kelly, Gretchen Wilson, Hoobastank and Jay-Z. Soul singer Stevie Wonder will receive Billboard's Century Award, the magazine's highest honour for creative achievement, at the ceremony.

The awards will be hosted by American Idol presenter Ryan Seacrest, and will feature performances by Usher, Gwen Stefani, Nelly and Green Day. Usher and Keys will be battling it out for prizes including artist of the year, Hot 100 songwriter of the year and Billboard 200 album of the year for their respective albums Confessions and The Diary of Alicia Keys. Maroon5 and OutKast are also up for artist of the year, while OutKast's Speakerboxxx/The Love Below is a finalist for Billboard 200 album of the year, alongside Josh Groban's Closer. The awards honour the year's leading artists and songs as determined by their performance on Billboard's weekly charts.
",1
